Team_ID,Season,CleanSheets,GoalConceded,GoalsConcededPerMatch,Saves,Tackle,TackleSuccess%,BlockedShots,Interceptions,Clearances,HeadedClearance,AerialBattle/DuelsWon,ErrorsLeadingToGoal,OwnGoals
14,2015/16,5,67,1.76,103,608,74%,99,473,"1,212",630,"2,545",9,2
36,2020/21,6,76,2.00,170,581,56%,76,435,840,441,"2,690",3,3
36,2017/18,10,56,1.47,102,604,64%,88,469,993,544,"2,860",1,2
36,2016/17,6,51,1.34,116,607,70%,103,539,997,565,"2,573",6,1
36,2015/16,11,48,1.26,109,642,72%,108,721,992,480,"2,755",4,3
36,2014/15,16,51,1.34,131,696,73%,107,585,"1,084",597,"2,607",9,0
46,2018/19,10,69,1.82,141,655,57%,112,528,978,448,"3,252",8,0
159,2018/19,5,76,2.00,114,710,60%,114,530,658,246,"3,018",11,1
159,2017/18,10,58,1.53,103,744,67%,110,519,"1,070",490,"2,978",10,1
45,2017/18,9,56,1.47,137,610,68%,100,390,943,499,"2,717",7,2
45,2016/17,8,70,1.84,121,634,71%,91,460,"1,039",527,"2,706",8,5
45,2015/16,9,52,1.37,119,638,75%,127,679,"1,058",493,"2,408",7,5
45,2014/15,13,49,1.29,141,634,76%,112,693,"1,203",646,"2,515",6,1
42,2017/18,6,68,1.79,152,678,64%,93,461,"1,164",609,"3,341",6,2
42,2016/17,11,56,1.47,127,665,71%,117,497,"1,009",488,"3,056",5,5
42,2015/16,10,55,1.45,121,710,75%,94,576,826,370,"2,718",3,0
42,2014/15,9,45,1.18,96,729,78%,152,496,"1,159",694,"3,327",5,0
41,2016/17,5,80,2.11,137,637,73%,88,565,"1,110",592,"2,442",5,5
41,2014/15,10,51,1.34,102,763,75%,107,607,"1,316",761,"3,059",8,0
13,2016/17,11,53,1.39,117,727,73%,101,550,"1,090",560,"3,038",6,0
29,2016/17,6,69,1.82,176,630,74%,132,545,"1,173",605,"2,552",7,2
29,2015/16,7,62,1.63,156,767,76%,118,571,"1,277",512,"2,746",7,1
29,2014/15,13,53,1.39,144,759,73%,121,578,994,525,"2,682",7,5
